label,name,description,source,coding_instructions,id,complete,header,input,double_enter,type,valid_values,show_valid_values,unknown,value_labels,logic_checks,logic_prompts,logic_must_be_true,calculated,equation,visible
Time of injury,toi,The time when the participant was injured,1. Participant 2. Participant relative/representative 3. Other person present who claim to know the participant 4. Hospital record,"Code using the format HH:MM, where HH is a two digit hour and MM is a two digit minute. If not available code as 999.",no,no,no,yes,yes,time,,yes,999,,,,,no,,yes
Date of arrival to the casualty medical officer's desk,doar,The date when the participant arrived to the casualty medical officer's desk at participating centre,1. Project officer 2. Hospital record,"Code using the format YYYY-MM-DD, where YYYY is a four digit year, MM a two digit month and DD a two digit day. If not available code as 999.",no,no,no,yes,yes,date,,yes,999,,,,,no,,yes
Time of arrival to the casualty medical officer's desk,toar,The time when the participant arrived to the casualty medical officer's desk at participating centre,1. Project officer 2. Hospital record,"Code using the format HH:MM, where HH is a two digit hour and MM is a two digit minute. If not available code as 999.",no,no,no,yes,yes,time,,yes,999,,,,,no,,yes
Eye component of Glasgow coma scale upon arrival to emergency department,egcs,The eye component of the first Glasgow coma scale recorded when the participant arrives to emergency department at participating centre,Recorded by project officer using the GCS assessment aid.,"If not testable, for example due to severe facial swelling, use the code 99. For further details see the attached GCS assessment aid. If not available code as 999 (note that this code should only be used under exceptional circumstances and if used has to be discussed with the core team). For further details see the attached GCS assessment aid.",no,no,no,yes,yes,qualitative,"1,2,3,4,99",yes,999,"""No eye opening at any time and no interfering factor"", ""Eye opening after finger tip stimulus"", ""Eye opening after spoken or shouted request"", ""Eye opening before stimulus"", ""Non testable""",,,,no,,yes
Verbal component of Glasgow coma scale upon arrival to emergency department,vgcs,The verbal component of the first Glasgow coma scale recorded when the participant arrives to emergency department at participating centre,Recorded by project officer using the GCS assessment aid.,"If not testable, for example because the participant is intubated, use the code 99. For further details see the attached GCS assessment aid. If not available code as 999 (note that this code should only be used under exceptional circumstances and if used has to be discussed with the core team). For further details see the attached GCS assessment aid.",no,no,no,yes,yes,qualitative,"1,2,3,4,5,99",yes,999,"""No audible response and no interfering factor"", ""Only moans/groans"", ""Intelligible single words"", ""Not orientated but communication coherently"", ""Correctly gives name, place and date"", ""Non testable""",,,,no,,yes
Motor component of Glasgow coma scale upon arrival to emergency department,mgcs,The motor component of the first Glasgow coma scale recorded when the participant arrives to emergency department at participating centre,Recorded by project officer using the GCS assessment aid.,"If not testable, for example because the participant is paralysed, use the code 99. For further details see the attached GCS assessment aid. If not available code as 999 (note that this code should only be used under exceptional circumstances and if used has to be discussed with the core team). For further details see the attached GCS assessment aid.",no,no,no,yes,yes,qualitative,"1,2,3,4,5,6,99",yes,999,"""No movement in arms/legs and no interfering factor"", ""Extends arm at elbow"", ""Bends arm at elbow and features clearly predominately abnormal"", ""Bends arm at elbow rapidly but features not predominately abnormal"", ""Brings hand above clavicle to stimulus on head or neck"", ""Obey 2-part request"", ""Non testable""",,,,no,,yes
AVPU upon arrival to emergency department,avpu,Level of consciousness according to the first AVPU recorded when the participant arrives to emergency department at participating centre,Recorded by project officer,"AVPU is a mnemonic and acronym for alert, voice, pain, unresponsive. Assign the code 3 if the participant is alert and talking to you. Assign the code 2 if the participant responds to a spoken or shouted request. Assign the code 1 if the participant responds to painful stimulus, see the GCS assessment aid for details on how to perform physical stimulation. Assign the code 0 if the participant does not respond to any stimulus and there is no interfering factor. If not testable, for example because the participant is intubated, use the code 99. If not available code as 999 (note that this code should only be used under exceptional circumstances and if used has to be discussed with the core team).",no,no,no,yes,yes,qualitative,"0,1,2,3,99",yes,999,"""Unresponsive"", ""Pain responsive"", ""Voice responsive"", ""Alert"", ""Non testable""",,,,no,,yes
"Systolic blood pressure upon arrival to emergency department, first measurement",sbp,First measurement of the first systolic blood pressure recorded when the participant arrives to emergency department of participating centre,"1. Recorded by project officer using an automatic blood pressure recorder in the left arm 2. Right arm 3. Monitor (only if option 1 and 2 are not possible due to interfering factors such as intravenous lines, other attached equipment)","Assign the code 0 if the blood pressure is too low to be measured. If the automatic blood pressure recorder fails to record due to machine error or if the blood pressure is not available due to other reasons, use the code 999 but also alert the core team.",no,no,no,yes,yes,quantitative,"0,300",yes,999,,,,,no,,yes
"Diastolic blood pressure upon arrival to emergency department, first measurement",dbp,First measurement of the first diastolic blood pressure recorded when the participant arrives to emergency department of participating centre,"1. Recorded by project officer using an automatic blood pressure recorder in the left arm 2. Right arm 3. Monitor (only if option 1 and 2 are not possible due to interfering factors such as intravenous lines, other attached equipment)","Assign the code 0 if the blood pressure is too low to be measured. If the automatic blood pressure recorder fails to record due to machine error or if the blood pressure is not available due to other reasons, use the code 999 but also alert the core team.",no,no,no,yes,yes,quantitative,"0,300",yes,999,,,,,no,,yes
"Heart rate upon arrival to emergency department, first measurement",hr,First measurement of the first heart rate recorded when the participant arrives to emergency department of participating centre,"1. Recorded by project officer using an automatic peripheral pulse oximeter 2. Manually recorded by counting the patients heart rate during one minute 3. Monitor (only if option 1 and 2 are not possible due to interfering factors such as intravenous lines, other attached equipment)","Assign the code 0 if the heart rate is too low to be measured. If the automatic pulse oximeter fails to record due to machine error or if the heart rate is not available due to other reasons, use the code 999 but also alert the core team.",no,no,no,yes,yes,quantitative,"0,300",yes,999,,,,,no,,yes
"Blood oxygen saturation upon arrival to emergency department, first measurement",spo2,The first blood oxygen saturation recorded when the participant arrives to emergency department of participating centre,"1. Recorded by project officer using an automatic peripheral pulse oximeter 2. Monitor (only if option 1 is not possible due to interfering factors such as intravenous lines, other attached equipment)","Assign the code 0 if the blood oxygen saturation is too low to be measured. If the automatic pulse oximeter fails to record due to machine error or if the blood oxygen saturation is not available due to other reasons, use the code 999 but also alert the core team.",no,no,no,yes,yes,quantitative,"0,100",yes,999,,,,,no,,yes
"Respiratory rate upon arrival to emergency department, first measurement",rr,The first respiratory rate recorded when the participant arrives to emergency department at participating centre.,1. Manually recorded by counting the patients respiratory rate during one minute 2. Monitor (only if option 1 is not possible due to some interfering factor),"The respiratory rate should be recorded by counting for one minute. Assign the code 0 if the respiratory rate is too low to be measured. If the respiratory rate is not available due to other reasons, use the code 999 but also alert the core team.",no,no,no,yes,yes,quantitative,"0,99",yes,999,,,,,no,,yes
Hospital disposition,hd,Indicator of patient status at discharge from participating centre,Hospital record,If unknown code as 999.,no,no,no,yes,yes,qualitative,"0,1,2,3",yes,999,"""Still admitted"", ""Discharged alive"", ""Transferred to another hospital"", ""Dead""",,,,no,,yes
Time elapsed from arrival to hospital to death or discharge in hours,tadd,The time elapsed between arrival to hospital to death or discharge in hours.,Hospital record,Enter time in hours rounded to closest whole hour. If not available code as 999.,no,no,no,yes,yes,quantitative,"0,10000",yes,999,,tadd > 336,"""Time from arrival to hospital to death or discharge is more than two weeks, are you sure this is correct?""",no,no,,yes
"Description of course of treatment, prehospital",dctph,"The description of the course of treatment, prehospital",1. Hospital record 2. Treating physician,"Enter a short description of the course of treatment, only about 2 to 4 sentences.",no,no,no,yes,no,text,,no,999,,,,,no,,yes
"Description of course of treatment, emergency department",dcted,"The description of the course of treatment, emergency department",1. Hospital record 2. Treating physician,"Enter a short description of the course of treatment, only about 2 to 4 sentences.",no,no,no,yes,no,text,,no,999,,,,,no,,yes
"Description of course of treatment, intensive care unit",dcticu,"The description of the course of treatment, intensive care unit",1. Hospital record 2. Treating physician,"Enter a short description of the course of treatment, only about 2 to 4 sentences. This should be completed at the end of follow up. If the patient was not admitted to ICU enter 0.",no,no,no,yes,no,text,,no,999,,,,,no,,yes
"Description of course of treatment, operating theathre",dctiot,"The description of the course of treatment, operating theathre",1. Hospital record 2. Treating physician,"Enter a short description of the course of treatment, only about 2 to 4 sentences. This should be completed at the end of follow up. If the patient was not taken to OT enter 0.",no,no,no,yes,no,text,,no,999,,,,,no,,yes
"Description of course of treatment, ward",dctiw,"The description of the course of treatment, ward",1. Hospital record 2. Treating physician,"Code as 2 = ""Not available"" if the information that is needed to determine if the filter criteria has been fulfilled is not available. Code as 3 = ""Not applicable"" if the filter is not applicable to the current patient.",no,no,no,yes,no,text,,no,999,,,,,no,,yes
Serial assessment of vitals and GCS for the first 12 hours after admission,taft69.2,Audit filter,1. Record 2. Direct observation,"Applies to: All trauma patients. Code as 2 = ""Not available"" if the information that is needed to determine if the filter criteria has been fulfilled is not available. Code as 3 = ""Not applicable"" if the filter is not applicable to the current patient.",no,no,no,yes,no,qualitative,"0,1,2,3",yes,,"""Not done"",""Done"",""Not available"",""Not applicable""",taft69 == 0,"""This case will be flagged, make sure you complete the description of course of treatment.""",no,no,,yes
MESS or WHO Trauma scale used in prognosis mangled extremity,taft67.2,Audit filter,1. Record,"Applies to: Patients with mangled upper extremity. Code as 2 = ""Not available"" if the information that is needed to determine if the filter criteria has been fulfilled is not available. Code as 3 = ""Not applicable"" if the filter is not applicable to the current patient.",no,no,no,yes,no,qualitative,"0,1,2,3",yes,,"""Not done"",""Done"",""Not available"",""Not applicable""",taft67 == 0,"""This case will be flagged, make sure you complete the description of course of treatment.""",no,no,,yes
FAST exam performed within 30 minutes from arrival to the emegency department to exclude hemoperitoneum.,taft65,Audit filter,1. Direct observation 2. Record,"Applies to: All trauma patients. Code as 2 = ""Not available"" if the information that is needed to determine if the filter criteria has been fulfilled is not available. Code as 3 = ""Not applicable"" if the filter is not applicable to the current patient.",no,no,no,yes,no,qualitative,"0,1,2,3",yes,,"""Not done"",""Done"",""Not available"",""Not applicable""",taft65 == 0,"""This case will be flagged, make sure you complete the description of course of treatment.""",no,no,,yes
Intubation performed in patient with a GCS score of 8 or less within 30 minutes of arrival to emergency department.,taft58,Audit filter,1. Direct observation 2. Record,"Applies to: Patients with GCS score of 8 or less. Code as 2 = ""Not available"" if the information that is needed to determine if the filter criteria has been fulfilled is not available. Code as 3 = ""Not applicable"" if the filter is not applicable to the current patient.",no,no,no,yes,no,qualitative,"0,1,2,3",yes,,"""Not done"",""Done"",""Not available"",""Not applicable""",taft58 == 0,"""This case will be flagged, make sure you complete the description of course of treatment.""",no,no,,yes
Operation for irrigation and debridement within 12 hours from arrival to emergency department for an open fracture,taft49,Audit filter,1. Direct observation 2. Record,"Applies to: Patients with open fracture. Code as 2 = ""Not available"" if the information that is needed to determine if the filter criteria has been fulfilled is not available. Code as 3 = ""Not applicable"" if the filter is not applicable to the current patient.",no,no,no,yes,no,qualitative,"0,1,2,3",yes,,"""Not done"",""Done"",""Not available"",""Not applicable""",taft49 == 0,"""This case will be flagged, make sure you complete the description of course of treatment.""",no,no,,yes
I.v antibiotics given within 1 hour of arrival to the emergency department in a patient with an open fracture,taft47,Audit filter,1. Direct observation 2. Record,"Applies to: Patients with open fracture. Code as 2 = ""Not available"" if the information that is needed to determine if the filter criteria has been fulfilled is not available. Code as 3 = ""Not applicable"" if the filter is not applicable to the current patient.",no,no,no,yes,no,qualitative,"0,1,2,3",yes,,"""Not done"",""Done"",""Not available"",""Not applicable""",taft47 == 0,"""This case will be flagged, make sure you complete the description of course of treatment.""",no,no,,yes
"Immobilization and imaging performed in a patient with suspected spine injury, within 4 hours of arrival to the emergency department",taft46,Audit filter,1. Direct observation 2. Record,"Applies to: Patients with suspected spine injury. Code as 2 = ""Not available"" if the information that is needed to determine if the filter criteria has been fulfilled is not available. Code as 3 = ""Not applicable"" if the filter is not applicable to the current patient.",no,no,no,yes,no,qualitative,"0,1,2,3",yes,,"""Not done"",""Done"",""Not available"",""Not applicable""",taft46 == 0,"""This case will be flagged, make sure you complete the description of course of treatment.""",no,no,,yes
"Patient assessed for hypovolemia when presenting with hypotension and tachycardia or suspected intra-abdominal bleeding, femoral shaft fracture, or pelvic fracture.",taft40,Audit filter,1. Direct observation,"Applies to: Patients with hypotension and tachycardia or suspected intra-abdominal bleeding, femoral shaft fracture, or pelvic fracture. Code as 2 = ""Not available"" if the information that is needed to determine if the filter criteria has been fulfilled is not available. Code as 3 = ""Not applicable"" if the filter is not applicable to the current patient.",no,no,no,yes,no,qualitative,"0,1,2,3",yes,,"""Not done"",""Done"",""Not available"",""Not applicable""",taft40 == 0,"""This case will be flagged, make sure you complete the description of course of treatment.""",no,no,,yes
Breathing assessment made within 5 min of arrival to emergency department,taft38.2,Audit filter,1. Direct observation,"Applies to: All trauma patients. Code as 2 = ""Not available"" if the information that is needed to determine if the filter criteria has been fulfilled is not available. Code as 3 = ""Not applicable"" if the filter is not applicable to the current patient.",no,no,no,yes,no,qualitative,"0,1,2,3",yes,,"""Not done"",""Done"",""Not available"",""Not applicable""",taft38 == 0,"""This case will be flagged, make sure you complete the description of course of treatment.""",no,no,,yes
"Assessment of mouth/throat for foreign bodies and debris made in patient that has difficulty breathing, within 10 minutes of arrival to emergency department",taft37,Audit filter,1. Direct observation,"Applies to: Patients that have difficulty breathing. Code as 2 = ""Not available"" if the information that is needed to determine if the filter criteria has been fulfilled is not available. Code as 3 = ""Not applicable"" if the filter is not applicable to the current patient.",no,no,no,yes,no,qualitative,"0,1,2,3",yes,,"""Not done"",""Done"",""Not available"",""Not applicable""",taft37 == 0,"""This case will be flagged, make sure you complete the description of course of treatment.""",no,no,,yes
Burn patient did receive 2-4 mL of crystalloid solution per kilogram body weight per percent body surface burn within 24 hours of injury,taft35,Audit filter,1. Direct observation 2. Record,"Applies to: Patients with burn. Code as 2 = ""Not available"" if the information that is needed to determine if the filter criteria has been fulfilled is not available. Code as 3 = ""Not applicable"" if the filter is not applicable to the current patient.",no,no,no,yes,no,qualitative,"0,1,2,3",yes,,"""Not done"",""Done"",""Not available"",""Not applicable""",taft35 == 0,"""This case will be flagged, make sure you complete the description of course of treatment.""",no,no,,yes
Splinting with analgesia made for a long bone fracture within 2 hours of admission or prior to transfer,taft30.2,Audit filter,1. Direct observation 2. Record,"Applies to: Patients with long bone fracture. Code as 2 = ""Not available"" if the information that is needed to determine if the filter criteria has been fulfilled is not available. Code as 3 = ""Not applicable"" if the filter is not applicable to the current patient.",no,no,no,yes,no,qualitative,"0,1,2,3",yes,,"""Not done"",""Done"",""Not available"",""Not applicable""",taft30 == 0,"""This case will be flagged, make sure you complete the description of course of treatment.""",no,no,,yes
"Pressure applied to external bleeding at patient arrival to the emergency department, and maintained until definitive control is performed",taft28,Audit filter,1. Direct observation,"Applies to: Patients with ongoing external bleeding. Code as 2 = ""Not available"" if the information that is needed to determine if the filter criteria has been fulfilled is not available. Code as 3 = ""Not applicable"" if the filter is not applicable to the current patient.",no,no,no,yes,no,qualitative,"0,1,2,3",yes,,"""Not done"",""Done"",""Not available"",""Not applicable""",taft28 == 0,"""This case will be flagged, make sure you complete the description of course of treatment.""",no,no,,yes
Large bore IV was placed within 5 minutes of patient arrival to the emergency department,taft27,Audit filter,1. Direct observation,"Applies to: All trauma patients. Code as 2 = ""Not available"" if the information that is needed to determine if the filter criteria has been fulfilled is not available. Code as 3 = ""Not applicable"" if the filter is not applicable to the current patient.",no,no,no,yes,no,qualitative,"0,1,2,3",yes,,"""Not done"",""Done"",""Not available"",""Not applicable""",taft27 == 0,"""This case will be flagged, make sure you complete the description of course of treatment.""",no,no,,yes
Chest tube placed within 30 min of patient arrival in patient with suspected or confirmed pneumo- or hemothorax and oxygen saturation less than 98%,taft26,Audit filter,1. Direct observation 2. Record,"Applies to: Patients with suspected or confirmed pneumo- or hemothorax and oxygen saturation less than 98%. Code as 2 = ""Not available"" if the information that is needed to determine if the filter criteria has been fulfilled is not available. Code as 3 = ""Not applicable"" if the filter is not applicable to the current patient.",no,no,no,yes,no,qualitative,"0,1,2,3",yes,,"""Not done"",""Done"",""Not available"",""Not applicable""",taft26 == 0,"""This case will be flagged, make sure you complete the description of course of treatment.""",no,no,,yes
Examination for pneumo- hemothorax done by listening to both sides of the chest with a stethoscope within 5 minutes of patient arrival to emergency department,taft25,Audit filter,1. Direct observation,"Applies to: All trauma patients. Code as 2 = ""Not available"" if the information that is needed to determine if the filter criteria has been fulfilled is not available. Code as 3 = ""Not applicable"" if the filter is not applicable to the current patient.",no,no,no,yes,no,qualitative,"0,1,2,3",yes,,"""Not done"",""Done"",""Not available"",""Not applicable""",taft25 == 0,"""This case will be flagged, make sure you complete the description of course of treatment.""",no,no,,yes
"Basic airway manoeuvre assistance (i.e. sweep, chin-lift-jaw-thrust, oral or nasal airway, suction) performed for patient with difficulty or obstructed breathing.",taft24,Audit filter,1. Direct observation,"Applies to: Patients with difficulty or obstructed breathing. Code as 2 = ""Not available"" if the information that is needed to determine if the filter criteria has been fulfilled is not available. Code as 3 = ""Not applicable"" if the filter is not applicable to the current patient.",no,no,no,yes,no,qualitative,"0,1,2,3",yes,,"""Not done"",""Done"",""Not available"",""Not applicable""",taft24 == 0,"""This case will be flagged, make sure you complete the description of course of treatment.""",no,no,,yes
The clinician did assess airway patency by asking the patient a question and listening for a response,taft23,Audit filter,1. Direct observation,"Applies to: All trauma patients. Code as 2 = ""Not available"" if the information that is needed to determine if the filter criteria has been fulfilled is not available. Code as 3 = ""Not applicable"" if the filter is not applicable to the current patient.",no,no,no,yes,no,qualitative,"0,1,2,3",yes,,"""Not done"",""Done"",""Not available"",""Not applicable""",taft23 == 0,"""This case will be flagged, make sure you complete the description of course of treatment.""",no,no,,yes
"Vital signs recorded within 5 minutes of arrival to emergency department (must include breathing assessment, heart rate, blood pressure, oxygen saturation if available)",taft21,Audit filter,1. Direct observation 2. Record,"Applies to: All trauma patients. Code as 2 = ""Not available"" if the information that is needed to determine if the filter criteria has been fulfilled is not available. Code as 3 = ""Not applicable"" if the filter is not applicable to the current patient.",no,no,no,yes,no,qualitative,"0,1,2,3",yes,,"""Not done"",""Done"",""Not available"",""Not applicable""",taft21 == 0,"""This case will be flagged, make sure you complete the description of course of treatment.""",no,no,,yes
Operative treatment of gunshot wound to the abdomen,taft14,Audit filter,1. Direct observation 2. Record,"Applies to: Patients with gunshot wound to the abdomen. Code as 2 = ""Not available"" if the information that is needed to determine if the filter criteria has been fulfilled is not available. Code as 3 = ""Not applicable"" if the filter is not applicable to the current patient.",no,no,no,yes,no,qualitative,"0,1,2,3",yes,,"""Not done"",""Done"",""Not available"",""Not applicable""",taft14 == 0,"""This case will be flagged, make sure you complete the description of course of treatment.""",no,no,,yes
Documentation of history and physical examination by a doctor,taft5,Audit filter,1. Record,"Applies to: All trauma patients. Code as 2 = ""Not available"" if the information that is needed to determine if the filter criteria has been fulfilled is not available. Code as 3 = ""Not applicable"" if the filter is not applicable to the current patient.",no,no,no,yes,no,qualitative,"0,1,2,3",yes,,"""Not done"",""Done"",""Not available"",""Not applicable""",taft5 == 0,"""This case will be flagged, make sure you complete the description of course of treatment.""",no,no,,yes
